,author,journal,year,document_type,doi,url,pubmed_id,author_keywords,mesh_terms,keywords,publication_type,title,review_fulltext,abstract
247,Wolska-Goszka L and Nowak A and Galiski J and Somiski JM,Pneumonologia i alergologia polska,1998,NA,NA,NA,9658879,NA,"Blood/microbiology and Body Fluids/*microbiology and Bronchi/microbiology and Cerebrospinal Fluid/microbiology and DNA, Bacterial/isolation & purification and Gene Amplification and Humans and Mycobacterium tuberculosis/*isolation & purification and Pleural Effusion/microbiology and Polymerase Chain Reaction/*methods and Sensitivity and Specificity and Skin/microbiology and Sputum/microbiology and Tuberculosis/*diagnosis/*microbiology and Tuberculosis, Pulmonary/diagnosis/microbiology and Urine/microbiology",NA,English Abstract and Journal Article,[Use of Polymerase chain reaction (PCR) for detection of Mycobacterium tuberculosis complex from patient materials].,1,"The polymerase chain reaction (PCR) and direct culture were applied for detection of Mycobacterium tuberculosis complex in samples obtained from patients with suspicion of pulmonary and extra-pulmonary tuberculosis. In the reaction of amplification IS6110 was applied as a target region, and PCR reaction products were of the size of 123 bp and 317 bp. A total of 278 samples (158 sputum, 36 urine, 25 pleural effusion, 23 bronchial washings, 8 blood, 4 stomach washings, 3 cerebrospinal fluid, 2 fragments of skin, 2 pleural effusion, and 17 others samples) from 181 patients were tested. Mycobacterium tuberculosis complex was detected by PCR in 144 out of 278 samples and by culture in 68 of 278 samples. The PCR test enabled a rapid and sensitive diagnosis particularly in a number of samples which were negative on culture."
248,"Ritis, K. and Tzoanopoulos, D. and Speletas, M. and Papadopoulos, E. and Arvanitidis, K. and Kartali, S. and Sideras, P.",Journal of Internal Medicine,2000,Article,10.1046/j.1365-2796.2000.00750.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033735368&doi=10.1046%2fj.1365-2796.2000.00750.x&partnerID=40&md5=af913b992f303a85f76b0c156838b855,11123506,Fever of unknown origin;  IS6110 insertion element;  Mycobacterium tuberculosis;  Polymerase chain reaction,NA,"adult;  aged;  article;  bacterial gene;  bacterium detection;  clinical article;  female;  gene amplification;  human;  Human immunodeficiency virus infection;  male;  Mycobacterium tuberculosis;  nucleotide sequence;  priority journal;  pyrexia idiopathica;  genetics;  methodology;  microbiology;  middle aged;  Mycobacterium tuberculosis;  nucleic acid amplification;  polymerase chain reaction;  pyrexia idiopathica;  serodiagnosis;  transposon;  tuberculosis, Adult;  Aged;  DNA Transposable Elements;  Female;  Fever of Unknown Origin;  HIV Seronegativity;  Humans;  Male;  Middle Aged;  Mycobacterium tuberculosis;  Nucleic Acid Amplification Techniques;  Polymerase Chain Reaction;  Tuberculosis",NA,Amplification of IS6110 sequence for detection of Mycobacterium tuberculosis complex in HIV-negative patients with fever of unknown origin (FUO) and evidence of extrapulmonary disease,1,"Objectives. Extrapulmonary tuberculosis (TB) constitutes the main cause of classic fever of unknown origin (FUO) in many populations. The aim of this study was to improve the diagnostic field of the disease using a nested polymerase chain reaction (PCR) assay, specific for the IS6110 insertion element of Mycobacterium tuberculosis complex, in order to achieve a more timely diagnosis and treatment. Setting. Twenty-four, HIV-negative classic FUO patients who were admitted to the Regional Hospital of Alexandroupolis between April 1997 and July 1999. Subjects and design. The above patients were considered as putative extrapulmonary TB after 3 weeks of in-patient investigation and underwent exhaustive examination for diagnosis of the disease. For this purpose, specimens were obtained from peripheral blood and bone marrow from these patients, as well as from damaged tissues, and analysed by both PCR and conventional methods. Anti-tuberculous treatment was initiated in 16 out of 24 patients and the response to this regimen was considered as the final criterion for diagnosis of tuberculosis. Results. Extrapulmonary TB was established in 11 patients. The PCR-based methodology, when applied to samples derived from bone marrow aspirations and suspected damaged tissues, was able to diagnose 10 of them, whereas the conventional methods were able to detect only two. Conclusions. Our results confirm the diagnostic value of molecular detection of M. tuberculosis in cases of FUO, thus supporting the application of PCR in tissue samples suspected of bacillus infection. Furthermore, our studies demonstrate that bone marrow aspiration specimens constitute an alternative, easy, safe and reliable source for such PCR analysis."
249,Moran AJ and Treit JD and Whitney JL and Abomoelak B and Houghton R and Skeiky YA and Sampaio DP and Badar R and Nano FE,FEMS microbiology letters,2001,NA,10.1111/j.1574-6968.2001.tb10615.x,NA,11325550,NA,"Antibodies, Bacterial/*blood and Antigens, Bacterial/genetics/*immunology and Bacterial Proteins/genetics/immunology and Cloning, Molecular and *Enzyme-Linked Immunosorbent Assay and Genes, Bacterial and Humans and Mycobacterium tuberculosis/genetics/*immunology and Open Reading Frames and Polymerase Chain Reaction and Recombinant Fusion Proteins/immunology/metabolism and Tuberculosis/*diagnosis",NA,"Evaluation Study and Journal Article and Research Support, Non-U.S. Gov't and Research Support, U.S. Gov't, P.H.S.",Assessment of the serodiagnostic potential of nine novel proteins from Mycobacterium tuberculosis.,0,"To identify antigens that would improve the accuracy of serological diagnosis of active tuberculosis, we cloned the genes encoding nine potentially immunogenic secreted or surface-associated proteins of Mycobacterium tuberculosis. Recombinant proteins were reacted with sera from HIV-negative individuals with extrapulmonary tuberculosis (EP-TB) or HIV-positive individuals with pulmonary tuberculosis (TBH). Specific and high level antibody responses were obtained for four recombinant proteins, of which antigen GST-822 was recognized by 60% of EP-TB and 42% of TBH and antigen MBP-506 was recognized by 45% of EP-TB and 61% of TBH. These results suggest that these proteins are strong candidates as subunits in a polyvalent serodiagnostic test."
250,"Manka, R. and Lentini, S. and Manka, C. and Lderitz, B. and Tasci, S.",Medizinische Klinik,2005,Article,10.1007/s00063-005-1101-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-28044437503&doi=10.1007%2fs00063-005-1101-6&partnerID=40&md5=643476d11d881d913be709ccec58c2d9,16328182,Aneurysm a. cerebri;  Bronchoalveolar lavage;  Cerebral involvement;  Miliary tuberculosis;  Polymerase chain reaction;  Sepsis,NA,"C reactive protein;  ethambutol;  isoniazid;  pyrazinamide;  rifampicin;  tuberculostatic agent, adult;  aphasia;  article;  bacterial strain;  blood pressure;  brain artery aneurysm;  brain hemorrhage;  case report;  computer assisted tomography;  diagnostic procedure;  female;  follow up;  hemiparesis;  human;  lung infiltrate;  lung lavage;  lung tuberculosis;  Mycobacterium tuberculosis;  neurologic disease;  nonhuman;  sepsis;  skin test;  thorax radiography;  time series analysis, Adult;  Aneurysm, Ruptured;  Cerebral Arteries;  Cerebral Hemorrhage;  Female;  Follow-Up Studies;  Humans;  Intracranial Aneurysm;  Radiography, Thoracic;  Time Factors;  Tomography, X-Ray Computed;  Treatment Outcome;  Tuberculosis, Miliary, Bacilli;  Bacteria (microorganisms);  Mycobacterium tuberculosis",NA,"A case of arteria cerebri aneurysm, sepsis, and miliary lung infiltrates in a 32-year-old woman [Arteria-cerebri-aneurysma, sepsis und miliare lungenrundherde bei einer 32-jhrigen patientin]",0,"Background: Miliary tuberculosis is a rare manifestation of tuberculosis with a high mortality rate. Diagnosis may easily be missed when severe neurologic symptoms are the first clinical manifestation. A typical case of miliary tuberculosis is reported, with special regard to the problems of diagnostic work-up. The need for an early empirical therapy for suspected military tuberculosis is emphasized in particular.  Case Report: A 32-year-old Moroccan woman was admitted to the hospital with aphasia and a hemiparesis due to an intracerebral hemorrhage caused by a ruptured septic A. cerebri media aneurysm. Despite intensive work-up no septic focus could be found. Chest radiograph and computerized tomography (CT) showed miliary consolidations in the lungs. Skin testing (Tuberkulin Behring GT5) and smears for acid-fast bacilli and polymerase chain reaction (PCR) for tuberculosis of bronchoalveolar lavage (BAL) were negative. A four-drug antituberculous regimen (rifampicin [RMP], isoniazid [INH], pyrazinamide [PZA], ethambutol [EMB]) was initiated, and resulted in normalization of temperature, blood pressure, and C-reactive protein. Subsequently, cultures of BAL yielded Mycobacterium tuberculosis. The patient was discharged, a two-drug regimen was conducted (RMP, INH) after 2 months. Follow-up of the patient showed a significant improvement of the miliary lung consolidations after 5 months in CT of the lung. Only minor neurologic symptoms persisted after cessation of the therapy.  Conclusion: In developed countries, miliary tuberculosis is a very rare cause of septic infiltrative lung disease. However, due to the nonspecific nature of the presentation and despite improved diagnostic techniques, a high clinical suspicion is essential for successful treatment.  Urban & Vogel."
251,Li Y and Zhu Y and Zhou L and Fang Y and Huang L and Ren L and Peng Y and Li Y and Yang F and Xie D and Tang W and Zhang N and Zhong Q and Lai X,Immunobiology,2011,NA,10.1016/j.imbio.2011.01.003,NA,21281984,NA,"Adult and Aged and Amino Acid Sequence and Animals and Antigens, Bacterial/*chemistry/immunology/metabolism and CD4-Positive T-Lymphocytes/*chemistry/immunology/metabolism/pathology and Cloning, Molecular and Convalescence and Drosophila melanogaster and Epitopes, T-Lymphocyte/*chemistry/immunology/metabolism and Escherichia coli and Female and Flow Cytometry and HLA-DR Antigens/*chemistry/immunology/metabolism and Humans and *Immunoassay and Lymphocyte Count and Male and Middle Aged and Molecular Sequence Data and Molecular Typing and Mycobacterium tuberculosis/*chemistry/immunology and Plasmids and Polymerase Chain Reaction and *Recombinant Proteins/chemistry/genetics/immunology/metabolism and Tuberculosis, Pulmonary/blood/*diagnosis/immunology/pathology",NA,"Comparative Study and Journal Article and Research Support, Non-U.S. Gov't",Use of HLA-DR*08032/E7 and HLA-DR*0818/E7 tetramers in tracking of epitope-specific CD4+ T cells in active and convalescent tuberculosis patients compared with control donors.,0,"Comparative tracking of tetramer-positive and epitope-specific CD4(+) T cells in blood and other tissues from tuberculosis (TB) patients during TB development and treatment using control donor samples is not well characterized. In this study, a novel HLA-DR-restricted peptide E7 from the ESAT-6 protein of Mycobacterium tuberculosis (MTB) was used to prepare modified HLA-DR*08032/E7 tetramer (tetramer 1) and HLA-DR*0818/E7 tetramer (tetramer 2) to monitor a series of samples from TB patients and control donors. Tetramer staining showed that (1) by direct staining of single sample and flow cytometric analyses, detection of tetramer-positive CD4(+) T cells ranged from 0.1% to 8.8% (median 0.67% in tetramer 1 and 0.5% in tetramer 2), 0.1 to 10.7% (0.74% and 0.71%), 0.02 to 2.2% (0.25% and 0.25%), 0.02 to 0.48% (0.2% and 0.2%) and most at under 0-0.2% (0.2% and 0.16%) in the initial pulmonary TB (PTB) patients' blood, pleural fluid (PLF) of initial tuberculous pleuritis patients, non-TB patients' blood, healthy donors' blood and umbilical cord blood, respectively; significantly higher levels of CD4(+) T cells were detected in samples of TB patients than in three control donor groups; (2) by direct staining of time point TB samples and flow cytometric analyses, along with TB symptom amendment at day 60, tetramer-positive CD4(+) T cells began to decrease, until after 90-120 days, reached and kept at a relatively low even normal level about at 0.03-0.3%; (3) by enrichment approach, at least 10-fold increased memory tetramer-positive CD4(+) T cells were seen; (4) by in situ staining, tetramer-positive, IFN--producing and/or TNF--producing CD4(+) T cells in the lymph node and lung granuloma and cavernous tissues of TB patients could be determined. Therefore, by further increasing the sample size tested to confirm the specificity and sensitivity of tetrameric molecules, it should be possible to develop them for use as research and diagnostic reagents."
252,Wolf AJ and Desvignes L and Linas B and Banaiee N and Tamura T and Takatsu K and Ernst JD,The Journal of experimental medicine,2008,NA,10.1084/jem.20071367,NA,18158321,NA,"Acyltransferases/*chemistry and Animals and Antigens, Bacterial/*chemistry and Bacterial Proteins/*chemistry and CD4-Positive T-Lymphocytes/metabolism and Cell Proliferation and Dendritic Cells/metabolism and Immune System/*pathology and Lung/*microbiology and Lymph Nodes/*pathology and Lymphocyte Activation and Macrophages/metabolism and Mice and Mice, Inbred C57BL and Models, Biological and Mycobacterium tuberculosis/*immunology and Polymerase Chain Reaction and T-Lymphocytes/metabolism and Time Factors",NA,"Journal Article and Research Support, N.I.H., Extramural and Research Support, Non-U.S. Gov't","Initiation of the adaptive immune response to Mycobacterium tuberculosis depends on antigen production in the local lymph node, not the lungs.",0,"The onset of the adaptive immune response to Mycobacterium tuberculosis is delayed compared with that of other infections or immunization, and allows the bacterial population in the lungs to expand markedly during the preimmune phase of infection. We used adoptive transfer of M. tuberculosis Ag85B-specific CD4(+) T cells to determine that the delayed adaptive response is caused by a delay in initial activation of CD4(+) T cells, which occurs earliest in the local lung-draining mediastinal lymph node. We also found that initial activation of Ag85B-specific T cells depends on production of antigen by bacteria in the lymph node, despite the presence of 100-fold more bacteria in the lungs. Although dendritic cells have been found to transport M. tuberculosis from the lungs to the local lymph node, airway administration of LPS did not accelerate transport of bacteria to the lymph node and did not accelerate activation of Ag85B-specific T cells. These results indicate that delayed initial activation of CD4(+) T cells in tuberculosis is caused by the presence of the bacteria in a compartment that cannot be mobilized from the lungs to the lymph node, where initial T cell activation occurs."
253,Torres M and Herrera T and Villareal H and Rich EA and Sada E,Infection and immunity,1998,NA,10.1128/IAI.66.1.176-180.1998,NA,9423855,NA,"Antigens, Bacterial/*immunology/isolation & purification and Antitubercular Agents/therapeutic use and Cell Division and Cytokines/genetics/*metabolism and Humans and Immunity, Cellular and Immunoglobulin G/analysis and Interferon-gamma/genetics/metabolism and Interleukin-10/genetics/metabolism and Interleukin-2/genetics/metabolism and Interleukin-4/genetics/metabolism and Leukocytes, Mononuclear/immunology/metabolism and Lymphocytes/cytology/*immunology/*metabolism and Polymerase Chain Reaction and RNA, Messenger/analysis/metabolism and Skin Tests and Th1 Cells/immunology/metabolism and Th2 Cells/immunology/metabolism and Tuberculin/immunology and Tuberculosis, Pulmonary/blood/drug therapy/*immunology",NA,"Journal Article and Research Support, Non-U.S. Gov't and Research Support, U.S. Gov't, P.H.S.",Cytokine profiles for peripheral blood lymphocytes from patients with active pulmonary tuberculosis and healthy household contacts in response to the 30-kilodalton antigen of Mycobacterium tuberculosis.,0,"Patients with active tuberculosis (TB) have a stronger humoral but a poorer cellular immune response to the secreted 30-kDa antigen (Ag) of Mycobacterium tuberculosis than do healthy household contacts (HHC), who presumably are more protected against disease. The basis for this observation was studied by examining the Th1 (interleukin 2 [IL-2] and gamma interferon [IFN-gamma])- and Th2 (IL-10 and IL-4)-type cytokines produced in response to the 30-kDa Ag by peripheral blood mononuclear cells (PBMC) from patients with active pulmonary TB (n = 7) and from HHC who were tuberculin (purified protein derivative) skin test positive (n = 12). Thirty-kilodalton-Ag-stimulated PBMC from TB patients produced significantly lower levels of IFN-gamma (none detectable) than did those from HHC (212 +/- 73 pg/ml, mean +/- standard error) (P < 0.001). Likewise, 30-kDa-Ag-stimulated PBMC from TB patients failed to express IFN-gamma mRNA by reverse transcription-PCR, whereas cells from HHC expressed the IFN-gamma gene. In contrast, 30-kDa-Ag-stimulated PBMC from TB patients produced significantly higher levels of IL-10 (403 +/- 80 pg/ml) than did those from HHC (187 +/- 66 pg/ml) (P < 0.013), although cells from both groups expressed the IL-10 gene. IL-2 and IL-4 were not consistently produced, and their genes were not expressed by 30-kDa-Ag-stimulated cells from either TB patients or HHC. After treatment with antituberculous drugs, lymphocytes from four of the seven TB patients proliferated and three of them expressed IFN-gamma mRNA in response to the 30-kDa Ag and produced decreased levels of IL-10."
254,Fusegawa H and Miyachi H and Ohshima T and Arimori S and Ando Y,[Rinsho ketsueki] The Japanese journal of clinical hematology,1992,NA,NA,NA,1602603,NA,"Aged and DNA, Bacterial/*analysis and Female and *Gene Amplification and Hematologic Diseases/*complications and Hodgkin Disease/complications and Humans and Leukemia/complications and Lymphoma/complications and Male and Middle Aged and Mycobacterium tuberculosis/*genetics and Polymerase Chain Reaction and Tuberculosis, Pulmonary/*diagnosis",NA,English Abstract and Journal Article,[Rapid diagnosis of tuberculosis by amplification of mycobacterial DNA in blood diseases].,0,"In patients with malignant blood disease, infection is the most serious complication. The prompt differential diagnosis of tuberculosis leads to an appropriate treatment. A method based on DNA amplification and hybridization for the rapid detection of Mycobacterium tuberculosis was used to test 10 clinical specimens (sputum, gastric aspirate and pleural effusion) from blood disease patients in whom tuberculosis was suspected. Mycobacterium tuberculosis DNA was detected in 3 specimens, including one which was negative on standard microbiological criteria (microscopy and/or culture). The other 7 specimens with fever or abnormal shadow on a chest X-ray were negative by both our method and the Standard microbiological criteria. Rapid diagnosis of tuberculosis by amplification of mycobacterial DNA in cases of blood disease in clinically useful."
255,Hmama Z and Gabathuler R and Jefferies WA and de Jong G and Reiner NE,"Journal of immunology (Baltimore, Md. : 1950)",1998,NA,NA,NA,9794422,NA,"Antigens, Differentiation, B-Lymphocyte/biosynthesis/chemistry and Biological Transport and Dimerization and Endosomes/*metabolism and Glycosylation and Golgi Apparatus/metabolism and HLA-DR Antigens/*biosynthesis/chemistry/genetics and Hexosaminidases/pharmacology and Histocompatibility Antigens Class II/biosynthesis/chemistry and Humans and Immunologic Deficiency Syndromes/etiology and Interferon-gamma/pharmacology and Leukemia, Monocytic, Acute/pathology and Lysosomes/metabolism and Microscopy, Confocal and Monocytes/drug effects/immunology/*microbiology and Mycobacterium tuberculosis/*physiology and *Nuclear Proteins and Phagocytosis and Protein Multimerization and Protein Processing, Post-Translational and Recombinant Proteins and Reverse Transcriptase Polymerase Chain Reaction and Tetradecanoylphorbol Acetate/pharmacology and Trans-Activators/metabolism and Tuberculosis/complications/immunology and Tumor Cells, Cultured and Vacuoles/metabolism",NA,"Journal Article and Research Support, Non-U.S. Gov't",Attenuation of HLA-DR expression by mononuclear phagocytes infected with Mycobacterium tuberculosis is related to intracellular sequestration of immature class II heterodimers.,0,"MHC class II expression was examined in macrophages infected with Mycobacterium tuberculosis. IFN-gamma increased the surface expression of class II molecules in THP-1 cells and this was markedly reduced in cells infected with M. tuberculosis. Despite this effect, steady state levels of HLA-DRalpha, HLA-DRbeta, and invariant (Ii) chains were equivalent in control and infected cells. Metabolic labeling combined with pulse-chase experiments and biochemical analysis showed that the majority of class II molecules in infected cells became resistant to endoglycosidase H, consistent with normal Golgi processing. However, results of intracellular staining and dual color confocal microscopy revealed a significant defect in transport of newly synthesized class II molecules through the endocytic compartment. Thus, compared with findings in control cells, class II molecules in infected cells colocalized to a minimal extent with a lysosomal-associated membrane protein-1+ endosomal compartment. In addition, in contrast to control cells, class II molecules in infected cells failed to colocalize with endocytosed BSA under conditions where this marker is known to label late endosomes, lysosomes, and the MHC class II compartment. Consistent with defective transport along the endocytic pathway, the maturation of SDS-stable class II alphabeta dimers--dependent upon removal of Ii chain and peptide loading of class II dimers in the MHC class II compartment--was markedly impaired in M. tuberculosis-infected cells. These findings indicate that defective transport and processing of class II molecules through the endosomal/lysosomal system is responsible for diminished cell surface expression of MHC class II molecules in cells infected with M. tuberculosis."
256,Franco A and Aprea L and Conte M and Manzillo E and Marocco A and Martucci F and Parrella R and Pizzella T and Simioli F and Izzo CM,Le infezioni in medicina,2009,NA,NA,NA,19838090,NA,"Antitubercular Agents/therapeutic use and Bronchoalveolar Lavage Fluid/*microbiology and Bronchoscopy and DNA, Bacterial/*analysis and Early Diagnosis and Humans and Immunocompetence and Male and Mycobacterium tuberculosis/genetics/*isolation & purification and *Polymerase Chain Reaction and Sputum/microbiology and Tomography, X-Ray Computed and Tuberculosis, Pulmonary/*diagnosis/diagnostic imaging/drug therapy/microbiology and Young Adult",NA,Case Reports and Journal Article,[Use of PCR for TB bacteria on BAL in early diagnosis of tubercular lobitis].,0,"In June 2008 a 23-year-old immunocompetent came to our observation, without fever and with an occasional cough for 2 months, who showed two chest X-rays and a CT, performed respectively 60, 40 and 20 days earlier, that pointed to a small lobitis at the right lung base. The patient had already undergone several antibiotic therapies that had not changed the X-graphic framework. On presentation, routine blood tests and cultural examinations of sputum were carried out to detect common germs, fungi and TB bacteria (microscopic observation, cultivation and PCR), and a new antibiotic therapy (piperacillin/tazobactam) was started. Since the radiological picture appeared unchanged after 10 days of therapy and the examinations (microscopic observation and PCR) were negative, bronchoscopy with bacteriological evaluation of BAL was performed, which was positive to Mycobacterium tuberculosis, and then tubercular lobitis was diagnosed. Therefore a specific therapy - rifampin (RMP), isoniazid (INH), etambutol (EMB), pyrazinamid (PZA) - was started and changed after 10 days due to the growth of mycobacteria resistant to INH and EMB on examination of sputum. Consequently, the early use of PCR on BAL allows, in skilled hands, small aspecific lobitis to be diagnosed more rapidly than using cultural examination of sputum."
257,"Taci, N. and Yurdakul, A.S. and Ceyhan, I. and Berktas, M.B. and retensoy, M.",Respiratory Medicine,2003,Article,10.1053/rmed.2003.1500,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038651906&doi=10.1053%2frmed.2003.1500&partnerID=40&md5=1c177e4a3a8148a76b84e1bb22566a2b,12814154,Blood;  Polymerase chain reaction;  Tuberculosis,NA,"albumin;  bacterial DNA;  tuberculostatic agent, adult;  albumin blood level;  article;  blood analysis;  body mass;  clinical article;  clinical trial;  controlled clinical trial;  controlled study;  correlation analysis;  diagnostic accuracy;  DNA determination;  female;  human;  Human immunodeficiency virus infection;  lung cavitation;  lung tuberculosis;  male;  Mycobacterium tuberculosis;  polymerase chain reaction;  priority journal;  sensitivity and specificity;  serodiagnosis;  sputum smear;  standardization;  thorax radiography",NA,Detection of Mycobacterium tuberculosis DNA from peripheral blood in patients with HIV-seronegative and new cases of smear-positive pulmonary tuberculosis by polymerase chain reaction,1,"Tuberculosis is still one of the most important cause of mortality and morbidity in many countries and there is a need for new methods for accurate and rapid diagnosis of tuberculosis. To determine the sensitivity and specificity of polymerase chain reaction (PCR) method, we have evaluated Mycobacterium tuberculosis DNA in peripheral blood samples with PCR technique in adult patients with human immunodeficiency virus (HIV)-negative and new cases of smear-positive pulmonary tuberculosis. We investigated the relationship between characteristic of the patients, radiological extension of the disease, sputum smear grade, presence of cavity, body-mass index (BMI), serum albumin level, total delay time and PCR positivity. Forty patients (33 male and 7 female; mean age 37.814.1) and 20 healthy control subjects (13 male and 7 female; mean age 35.67.3) were enrolled in this study. PCR was positive in 16 of 40 (40%) patients with pulmonary tuberculosis and negative in 24 of 40 (60%). None of the healthy controls had positive PCR results. The overall sensitivity, specificity and accuracy of the PCR assay was 40,100 and 60%, respectively. We found the positive correlation between PCR positivity and sputum smear grade (r= 0.46, P=0.003), radiological extension of the disease (r= 0.69, P=0.001), presence of cavity (r= 0.90, P=0.001). We conclude that the detection of M. tuberculosis DNA from peripheral blood by PCR technique is useful for the rapid diagnosis of tuberculosis patients with HIV-negative. Hematogenous dissemination was important in tuberculosis patients and peripheral blood samples were suitable and easy materials. However, standardization of the PCR method must be ensured for the diagnosis of tuberculosis.  2003 Elsevier Science Ltd. All rights reserved."
258,Yagi O and Kawabe Y and Nagayama N and Shimada M and Kawashima M and Kaneko Y and Ariga H and Ohshima N and Matsui Y and Suzuki J and Masuda K and Tamura A and Nagai H and Akagawa S and Machida K and Kurashima A and Nakajima Y and Yotsumoto H,Kekkaku : [Tuberculosis],2007,NA,NA,NA,17633120,NA,"Adult and Aged and Bacteremia/complications and Female and Humans and Male and Middle Aged and Retrospective Studies and Tuberculosis, Miliary/epidemiology/*etiology and Tuberculosis, Osteoarticular/*complications/epidemiology and Tuberculosis, Pulmonary/epidemiology/*etiology",NA,English Abstract and Journal Article,[Bone and joint tuberculosis concurrent with tuberculosis of other organs].,0,"OBJECTIVES: To study the characteristics of bone or joint tuberculosis (TB) accompanied by TB in other organs (especially the lung), and to study patients' and doctors' delay in detecting bone or joint TB. SUBJECTS AND METHODS: A retrospective study was conducted on 33 patients with bone or joint TB concurrent with TB of other organs, especially the lung, who were admitted to our hospital between 1981 and 2005. The patients were divided into the following three groups according to the organ of concurrent TB : (1) miliary TB group (N = 10), (2) pulmonary TB group (N = 19), and (3) other TB site group (N = 4). The relationship between bone/joint TB and TB of other organs was studied by comparing the three groups with respect to the time of appearance of musculo-skeletal symptoms or signs such as swelling and pain and that of symptoms or signs originating from other organs, such as cough, sputum, miliary pattern on chest radiograph and superficial lymph node swelling. RESULTS: The mean age (SD) of patients was 50.5 (18.9) yr, and the male to female ratio was 23 : 10. Among 33 patients, bone TB (including 18 spinal TB) was detected in 24 patients, joint TB in 14, and abscess in 3 (concurrent lesions in some patients). The mean intervals from onset of symptoms to consultation (patients' delay), from consultation to diagnosis (doctors' delay) and from symptom onset to diagnosis (total delay) were 5.5 (13.9), 3.4 (5.2) and 8.9 (13.9) months, respectively. (1) Bone/joint TB concurrent with miliary TB (N = 10) In 8 patients with mean age of 61.0 (17.4) yr, musculo-skeletal symptoms/signs preceded respiratory symptoms or appearance of miliary pattern on chest radiograph by 7.8 (7.2) (range; 1-24) months. The patients', doctors' and total delays were 0.4 (0.5), 7.3 (7.8), and 7.7 (7.6) months, respectively. In most cases, bone/joint TB was diagnosed after the onset of miliary pattern on chest radiograph. In one patient with simultaneous onset of musculo-skeletal and respiratory symptoms/signs (age 21 yr), the interval of total delay was 1 month, and in one patient with musculoskeletal symptoms which appeared six months later than respiratory symptoms (age 28 yr), the interval of total delay was 2 months. (2) Bone/joint TB concurrent with active pulmonary TB (N = 19). In this group, the mean age was 52.2 (17.1) yr, and males were predominant (M/F = 15/4). Active pulmonary TB was diagnosed by positive sputum culture in 13 patients, by positive sputum smear or PCR results in 4 patients, and by the clinical course in 2 patients. Ten patients (53%) had a previous TB history. Cavitary lesion was observed in 15 patients, and the upper lobes were predominantly involved on chest radiograph in 19 patients, indicating that the pulmonary TB was probably post-primary (reactivation) in all patients. In 9 patients with mean age of 49.7 (15.7) yr, musculo-skeletal symptoms/signs preceded respiratory symptoms by 14.1 (14.0) (range; 4-48) months. The patients', doctors' and total delays were 13.3 (17.8), 3.8 (6.6), and 17.1 (16.1) months, respectively. On the other hand, in 10 patients with mean age of 54.5 (18.7) yr, musculo-skeletal symptoms/signs and respiratory symptoms/signs appeared simultaneously, and the total delay was 2.7 (1.9) months. Twelve of 19 patients (63%) had complications such as diabetes mellitus, steroid use, and liver diseases. In cases with miliary or pulmonary tuberculosis, the total delay in diagnosis (Y) correlates positively with the time lag from onset of musculo-skeletal symptoms to respiratory symptoms/signs (X), and the regression line (Y = 0.94X + 2.3, r = 0.98, p < 0.001) was almost linear (Y = X), indicating that the diagnosis of bone/joint TB was made just after the diagnosis of miliary or pulmonary TB. (3) Bone/joint TB concurrent with TB of other sites (N = 4) In 2 female cases (21 and 28 yrs) with cervical lymph node TB, musculo-skeletal symptoms/signs and cervical lymph node swelling appeared simultaneously. In a 54-yr male patient, musculo-skeletal symptoms/signs appeared 5 years after appearance of testicular enlargement, and testicular TB was diagnosed by biopsy simultaneously. In a 33 year-old male patient, musculo-skeletal symptoms/signs appeared 7 months after the drainage of pleural and pericardial effusions (TB was not diagnosed initially), and then the diagnosis of bone/joint, pleural, and pericardial tuberculosis was made for the first time. CONCLUSIONS: In middle-aged or elderly patients with active bone/joint TB, miliary TB is sometimes caused by bacillemia originating from the infected bone/joint lesions. In cases with bone/joint TB and concurrent pulmonary TB, bone/joint TB and pulmonary TB are probably reactivated independently as a result of decreased systemic immunocompetence."
259,Stipkovits L and Ripley PH and Varga J and Palfi V,The Veterinary record,2001,NA,10.1136/vr.148.13.399,NA,11327646,NA,"Administration, Oral and Animals and Animals, Newborn and Anti-Bacterial Agents/administration & dosage/*therapeutic use and Cattle and Cattle Diseases/prevention & control and Diterpenes/administration & dosage/*therapeutic use and Female and Male and Milk and Mycobacterium bovis/*isolation & purification and Nasal Mucosa/*microbiology and Pasteurella Infections/prevention & control/veterinary and Pasteurella multocida/isolation & purification and Polymerase Chain Reaction/veterinary and Single-Blind Method and Treatment Outcome and Tuberculosis, Bovine/blood/microbiology/*prevention & control",NA,Clinical Trial and Journal Article and Randomized Controlled Trial,Use of valnemulin in the control of Mycoplasma bovis infection under field conditions.,0,"In a blind trial, alternate calves in six consecutive production batches of calves (total 70), on a farm with a high incidence of respiratory and reproductive disease, were allocated to treatment with either valnemulin or a placebo premix added to the milk from four days of age. The calves were weighed at the beginning and end of a 21-day period of medication. Blood samples and nasal swabs were taken and examined for the presence of Mycoplasma and Pasteurella species, and antibodies to viral agents. Clinical condition, rectal temperature, respiratory and other signs and refusals of milk were recorded daily. Dead calves were examined postmortem. The calves medicated with valnemulin gained weight more quickly, had fewer cases of Mycoplasma infection and fewer respiratory signs, and required fewer treatments with antibiotics than those in the placebo group."
