author,journal,year,document_type,doi,url,pubmed_id,author_keywords,mesh_terms,keywords,publication_type,title,review_fulltext,abstract
Venkatasubramanian S and Dhiman R and Paidipally P and Cheekatla SS and Tripathi D and Welch E and Tvinnereim AR and Jones B and Theodorescu D and Barnes PF and Vankayalapati R,PLoS pathogens,2015,NA,10.1371/journal.ppat.1004617,NA,25659138,NA,"Adolescent and Adult and Aged and Animals and Apoptosis/immunology and CD4-Positive T-Lymphocytes/*immunology and Cell Separation and Coculture Techniques and Enzyme-Linked Immunosorbent Assay and Female and Flow Cytometry and Humans and Latent Tuberculosis/*immunology and Macrophages/*microbiology and Male and Mice and Mice, Inbred C57BL and Microscopy, Confocal and Middle Aged and Mycobacterium tuberculosis and Real-Time Polymerase Chain Reaction and T-Lymphocyte Subsets/*immunology and Tuberculosis/immunology and Young Adult and rho-Specific Guanine Nucleotide Dissociation Inhibitors/*immunology",NA,"Journal Article and Research Support, N.I.H., Extramural and Research Support, Non-U.S. Gov't",A rho GDP dissociation inhibitor produced by apoptotic T-cells inhibits growth of Mycobacterium tuberculosis.,0,"In this study, we found that a subpopulation of CD4(+)CD25(+) (85% Foxp3(+)) cells from persons with latent tuberculosis infection (LTBI) inhibits growth of M. tuberculosis (M. tb) in human monocyte-derived macrophages (MDMs). A soluble factor, Rho GDP dissociation inhibitor (D4GDI), produced by apoptotic CD4(+)CD25(+) (85% Foxp3(+)) cells is responsible for this inhibition of M. tb growth in human macrophages and in mice. M. tb-expanded CD4(+C)D25(+)Foxp3(+)D4GDI(+) cells do not produce IL-10, TGF- and IFN-. D4GDI inhibited growth of M. tb in MDMs by enhancing production of IL-1, TNF- and ROS, and by increasing apoptosis of M. tb-infected MDMs. D4GDI was concentrated at the site of disease in tuberculosis patients, with higher levels detected in pleural fluid than in serum. However, in response to M. tb, PBMC from tuberculosis patients produced less D4GDI than PBMC from persons with LTBI. M. tb-expanded CD4+CD25+ (85% Foxp3(+)) cells and D4GDI induced intracellular M. tb to express the dormancy survival regulator DosR and DosR-dependent genes, suggesting that D4GDI induces a non-replicating state in the pathogen. Our study provides the first evidence that a subpopulation of CD4(+)CD25(+) (85% Foxp3+) cells enhances immunity to M. tb, and that production of D4GDI by this subpopulation inhibits M. tb growth."
Tebruegge M and Ritz N and Koetz K and Noguera-Julian A and Seddon JA and Welch SB and Tsolia M and Kampmann B,PloS one,2014,NA,10.1371/journal.pone.0099129,NA,24922084,NA,"Europe and Hospitals, Pediatric/statistics & numerical data and Immunologic Tests/*statistics & numerical data and Molecular Diagnostic Techniques/*statistics & numerical data and Polymerase Chain Reaction/statistics & numerical data and Tuberculosis/*diagnosis",NA,"Journal Article and Research Support, Non-U.S. Gov't",Availability and use of molecular microbiological and immunological tests for the diagnosis of tuberculosis in europe.,0,"INTRODUCTION: Currently only limited data exist regarding the availability and clinical use of molecular and immunological tests for tuberculosis (TB) in the European setting. METHODS: Web-based survey of Paediatric-Tuberculosis-Network-European-Trialsgroup (ptbnet) and Tuberculosis-Network-European-Trialsgroup (TBnet) members conducted June to December 2013. Both networks comprise clinicians, microbiologists, epidemiologists and researchers predominately based in Europe. RESULTS: 191 healthcare professionals from 31 European countries participated. Overall, 26.8% of respondents did not have access to the Xpert MTB/RIF assay; only 44.6% had access to the assay in-house. However, a substantial proportion had access to other commercial and/or non-commercial PCR-based assays for TB (68.8% and 31.8%, respectively). Only 6.4% did not have access to any PCR-based assays for TB. A large proportion of participants with access to the Xpert MTB/RIF assay had used it for the analysis of non-respiratory samples [pleural fluid: 36.5%, gastric aspirates: 34.7%, cerebrospinal fluid: 34.7%, stool samples: 4.3%, blood/serum: 2.6%, 'other samples' (which included biopsy/tissue samples, lymph node aspirates, joint aspirates and urine samples): 16.5%]. Regarding interferon-gamma release assays, a greater proportion of respondents had access to the QuantiFERON-TB Gold assay (84.7%) than to the T-SPOT.TB assay (52.2%). CONCLUSIONS: Both immunological and molecular TB tests are widely available across Europe. The QuantiFERON-TB Gold assay is more widely used than the T-SPOT.TB assay, which may reflect the difficulties of integrating an ELISPOT assay into the routine laboratory setting. Although Xpert MTB/RIF assays are optimised and solely licensed for the analysis of sputum samples, in clinical practice they are commonly used for non-respiratory samples. Further research is needed to establish how current molecular TB tests impact on patient care and outcome in the routine clinical setting."
Montenegro LM and Silva BC and Lima JF and Cruz HL and Montenegro Rde A and Lundgren FL and Albuquerque Filho AP and Schindler HC,Revista da Sociedade Brasileira de Medicina Tropical,2013,NA,10.1590/0037-8682-0127-2013,NA,24270250,NA,"Adolescent and Adult and Aged and DNA, Bacterial/analysis and Double-Blind Method and Female and Humans and Male and Middle Aged and Mycobacterium tuberculosis/*genetics and Pleural Effusion/microbiology and Polymerase Chain Reaction/*methods and Predictive Value of Tests and Prospective Studies and Reproducibility of Results and Sensitivity and Specificity and Tuberculosis, Pleural/blood/*diagnosis/urine and Young Adult",NA,"Evaluation Study and Journal Article and Research Support, Non-U.S. Gov't",The performance of an in-house nested-PCR technique for pleural tuberculosis diagnoses.,0,"INTRODUCTION: This study evaluated the performance of an in-house nested-PCR system for the detection of the Mycobacterium tuberculosis complex in pleural fluid, blood and urine samples from pleural effusion tuberculosis patients by health services physicians in Pernambuco, Brazil. METHODS: A prospective double-blind study with 37 hospitalized patients of both sexes, aged over 15, was used to investigate the diagnosis of pleural effusion. The criteria used to define the cases included the demonstration of bacillus in biological samples by smear or culture or by a granulomatous finding in the histopathological examination, associated with an evident response to specific treatments to each clinical situation. Pleural fluid, blood and urine samples were collected and subjected to routine tests and the nested PCR technique to assess for M. tuberculosis amplification. RESULTS: In total, 37 pleural effusion patients took part in the study, of whom 19 (51.3%) had tubercular etiologies and 18 (48.7%) had etiologies from other causes. When the pleural fluid, blood and/or urine sample in-house nested-PCR sensitivities were evaluated simultaneously, the results were positive regardless of the biological specimen (the sensitivity was 84.2%); however, when the blood and/or urine samples were analyzed together, the sensitivity was 72.2%. When the pleural fluid samples were evaluated alone, the sensitivity was only 33.3%. CONCLUSIONS: The performance of the diagnostic pleural tuberculosis nested-PCR was directly related to the diversity of the samples collected from the same patient. Additionally, this study may identify a need to prioritize non-invasive blood and urine collection for this diagnosis."
Hassan SS and Akram M and King EC and Dockrell HM and Cliff JM,PloS one,2015,NA,10.1371/journal.pone.0137646,NA,26359860,NA,"Adult and Aged and Antitubercular Agents/therapeutic use and B7-H1 Antigen/*genetics/metabolism and Down-Regulation and Female and Gene Expression Regulation and Humans and Immunophenotyping and Killer Cells, Natural/immunology/*metabolism and Lymphocyte Count and Male and Middle Aged and *Mycobacterium tuberculosis and Programmed Cell Death 1 Ligand 2 Protein/*genetics/metabolism and Programmed Cell Death 1 Receptor/*genetics/metabolism and T-Lymphocyte Subsets/immunology/*metabolism and Tuberculosis/drug therapy/*genetics/immunology/*metabolism and Young Adult",NA,"Journal Article and Research Support, Non-U.S. Gov't","PD-1, PD-L1 and PD-L2 Gene Expression on T-Cells and Natural Killer Cells Declines in Conjunction with a Reduction in PD-1 Protein during the Intensive Phase of Tuberculosis Treatment.",0,"BACKGROUND: The PD-1 axis is a cell intrinsic immunoregulatory pathway that mediates T cell exhaustion in chronic infection particularly in some viral infections. We hypothesized that PD-1, PD-L1 and PD-L2 would be highly expressed in untreated tuberculosis patients compared to controls due to their chronic infection and would decrease with successful TB treatment. MATERIALS AND METHODS: Untreated tuberculosis patients (n = 26) were recruited at diagnosis and followed up during treatment. Household contacts (n = 24) were recruited to establish baseline differences. Blood gene expression ex vivo was investigated using qRT-PCR. Flow cytometry was performed to establish protein expression patterns. RESULTS: PD-L1 gene expression was found to be elevated in active TB disease; however, this was not observed for PD-1 or PD-L2. The intensive phase of TB treatment was associated with a significant decline in PD-1, PD-L1 and PD-L2 gene expression. PD-1 protein expression on the surface of NK cells, CD8+ and CD4+ T cells was similar in patients with active TB disease compared to controls but declined with successful TB treatment, with the greatest decline occurring on the NK cells followed by CD8+ T cells and then CD4+ T cells. Granzyme B/PD-1 co-expression declined with successful intensive phase treatment. CONCLUSION: Modulation of PD-1/PD-L1 pathway through TB treatment indicates changes in the peripheral T cell response caused by live Mycobacterium tuberculosis (Mtb) followed by the response to dead bacilli, antigen-release and immuno-pathology resolution. The PD-1 axis could be a host drug target for immunomodulatory treatments in the future."
Feasey NA and Banada PP and Howson W and Sloan DJ and Mdolo A and Boehme C and Chipungu GA and Allain TJ and Heyderman RS and Corbett EL and Alland D,Journal of clinical microbiology,2013,NA,10.1128/JCM.00330-13,NA,23678061,NA,Adult and Bacteremia/*diagnosis and Bacteriological Techniques/*methods and Cohort Studies and Female and HIV Infections/*complications and Humans and Malawi and Male and Middle Aged and Molecular Diagnostic Techniques/*methods and Mycobacterium tuberculosis/genetics/*isolation & purification and Predictive Value of Tests and Prognosis and Prospective Studies and Sensitivity and Specificity and Survival Analysis and Tuberculosis/*diagnosis,NA,"Evaluation Study and Journal Article and Research Support, Non-U.S. Gov't",Evaluation of Xpert MTB/RIF for detection of tuberculosis from blood samples of HIV-infected adults confirms Mycobacterium tuberculosis bacteremia as an indicator of poor prognosis.,1,"Tuberculosis (TB) remains a leading cause of death among HIV-infected adults, in part because of delayed diagnosis and therefore delayed initiation of treatment. Recently, the Gene-Xpert platform, a rapid, PCR-based diagnostic platform, has been validated for the diagnosis of TB with sputum. We have evaluated the Xpert MTB/RIF assay for the diagnosis of Mycobacterium tuberculosis bacteremia and investigated its impact on clinical outcomes. Consecutive HIV-infected adults with fever and cough presenting to Queen Elizabeth Central Hospital, Blantyre, Malawi, were recruited and followed up for 2 months. At presentation, three sputum samples were examined by smear, culture, and Xpert MTB/RIF assay for the presence of M. tuberculosis and blood was drawn for PCR with Xpert, for mycobacterial culture (Myco/F Lytic), and for aerobic culture. One hundred four patients were recruited, and 44 (43%) were sputum culture positive for M. tuberculosis. Ten were Xpert blood positive, for a sensitivity of 21% and a specificity of 100%. The 2-week mortality rate was significantly higher among patients who were Xpert blood positive than among those who were negative (40% versus 3%; multivariate odds ratio [OR] for death if positive, 44; 95% confidence interval [CI], 3 to 662). This effect persisted on assessment of the mortality rate at 2 months (40% versus 11%; OR, 5.6; 95% CI, 1.3 to 24.6). When screening uncomplicated patients presenting with a productive cough for pulmonary TB, Xpert blood offers no diagnostic advantage over sputum testing. Despite this, Xpert blood positivity is highly predictive of early death and this test rapidly identifies a group of patients in urgent need of initiation of treatment."
Sarkar S and Song Y and Sarkar S and Kipen HM and Laumbach RJ and Zhang J and Strickland PA and Gardner CR and Schwander S,"Journal of immunology (Baltimore, Md. : 1950)",2012,NA,10.4049/jimmunol.1101380,NA,22345648,NA,"Adult and Apoptosis and Cell Survival and Female and Gene Expression Regulation and Humans and Male and Microscopy, Electron, Transmission and Middle Aged and Monocytes/*immunology/*microbiology and Mycobacterium tuberculosis and *NF-kappa B/immunology/metabolism and Particulate Matter/*adverse effects/immunology and Real-Time Polymerase Chain Reaction and Reverse Transcriptase Polymerase Chain Reaction and Signal Transduction/immunology and Tuberculosis/*immunology and Vehicle Emissions/*toxicity and Young Adult",NA,"Journal Article and Research Support, N.I.H., Extramural",Suppression of the NF-B pathway by diesel exhaust particles impairs human antimycobacterial immunity.,0,"Epidemiological studies suggest that chronic exposure to air pollution increases susceptibility to respiratory infections, including tuberculosis in humans. A possible link between particulate air pollutant exposure and antimycobacterial immunity has not been explored in human primary immune cells. We hypothesized that exposure to diesel exhaust particles (DEP), a major component of urban fine particulate matter, suppresses antimycobacterial human immune effector cell functions by modulating TLR-signaling pathways and NF-B activation. We show that DEP and H37Ra, an avirulent laboratory strain of Mycobacterium tuberculosis, were both taken up by the same peripheral human blood monocytes. To examine the effects of DEP on M. tuberculosis-induced production of cytokines, PBMC were stimulated with DEP and M. tuberculosis or purified protein derivative. The production of M. tuberculosis and purified protein derivative-induced IFN-, TNF-, IL-1, and IL-6 was reduced in a DEP dose-dependent manner. In contrast, the production of anti-inflammatory IL-10 remained unchanged. Furthermore, DEP stimulation prior to M. tuberculosis infection altered the expression of TLR3, -4, -7, and -10 mRNAs and of a subset of M. tuberculosis-induced host genes including inhibition of expression of many NF-B (e.g., CSF3, IFNG, IFNA, IFNB, IL1A, IL6, and NFKBIA) and IFN regulatory factor (e.g., IFNG, IFNA1, IFNB1, and CXCL10) pathway target genes. We propose that DEP downregulate M. tuberculosis-induced host gene expression via MyD88-dependent (IL6, IL1A, and PTGS2) as well as MyD88-independent (IFNA, IFNB) pathways. Prestimulation of PBMC with DEP suppressed the expression of proinflammatory mediators upon M. tuberculosis infection, inducing a hyporesponsive cellular state. Therefore, DEP alters crucial components of antimycobacterial host immune responses, providing a possible mechanism by which air pollutants alter antimicrobial immunity."
Ganbat D and Seehase S and Richter E and Vollmer E and Reiling N and Fellenberg K and Gaede KI and Kugler C and Goldmann T,BMC pulmonary medicine,2016,NA,10.1186/s12890-016-0185-5,NA,26803467,NA,"Alveolar Epithelial Cells/microbiology/pathology and Cell Nucleus/pathology and Humans and Immunohistochemistry and In Situ Nick-End Labeling and In Vitro Techniques and Lung/metabolism/*pathology and Lymphocytes/microbiology/pathology and Macrophages, Alveolar/microbiology/pathology and Monocytes/microbiology/pathology and Mycobacterium/genetics and Mycobacterium Infections, Nontuberculous/metabolism/*pathology and Mycobacterium avium/genetics and Mycobacterium tuberculosis/genetics and Neutrophils/microbiology/pathology and Polymerase Chain Reaction and Tissue Culture Techniques and Tissue Survival and Tuberculosis, Pulmonary/metabolism/*pathology",NA,"Journal Article and Research Support, Non-U.S. Gov't",Mycobacteria infect different cell types in the human lung and cause species dependent cellular changes in infected cells.,0,"BACKGROUND: Mycobacterial infections remain a significant cause of morbidity and mortality worldwide. Due to limitations of the currently available model systems, there are still comparably large gaps in the knowledge about the pathogenesis of these chronic inflammatory diseases in particular with regard to the human host. Therefore, we aimed to characterize the initial phase of mycobacterial infections utilizing a human ex vivo lung tissue culture model designated STST (Short-Term Stimulation of Tissues). METHODS: Human lung tissues from 65 donors with a size of 0.5-1 cm(3) were infected each with two strains of three different mycobacterial species (M. tuberculosis, M. avium, and M. abscessus), respectively. In order to preserve both morphology and nucleic acids, the HOPE fixation technique was used. The infected tissues were analyzed using histo- and molecular-pathological methods. Immunohistochemistry was applied to identify the infected cell types. RESULTS: Morphologic comparisons between ex vivo incubated and non-incubated lung specimens revealed no noticeable differences. Viability of ex vivo stimulated tissues demonstrated by TUNEL-assay was acceptable. Serial sections verified sufficient diffusion of the infectious agents deep into the tissues. Infection was confirmed by Ziel Neelsen-staining and PCR to detect mycobacterial DNA. We observed the infection of different cell types, including macrophages, neutrophils, monocytes, and pneumocytes-II, which were critically dependent on the mycobacterial species used. Furthermore, different forms of nuclear alterations (karyopyknosis, karyorrhexis, karyolysis) resulting in cell death were detected in the infected cells, again with characteristic species-dependent differences. CONCLUSION: We show the application of a human ex vivo tissue culture model for mycobacterial infections. The immediate primary infection of a set of different cell types and the characteristic morphologic changes observed in these infected human tissues significantly adds to the current understanding of the initial phase of human pulmonary tuberculosis. Further studies are ongoing to elucidate the molecular mechanisms involved in the early onset of mycobacterial infections in the human lung."
Lee HM and Shin JW and Kim JY and Park IW and Choi BW and Choi JC and Seo JS and Kim CW,Respiration; international review of thoracic diseases,2010,NA,10.1159/000277926,NA,20110640,NA,"Adolescent and Adult and Aged and Aged, 80 and over and Female and Humans and Interferon-gamma/*blood and Male and Middle Aged and Mycobacterium tuberculosis/isolation & purification and Polymerase Chain Reaction and *Radiography, Thoracic and Sensitivity and Specificity and Sputum/microbiology and *Tomography, X-Ray Computed and Tuberculosis, Pulmonary/*diagnosis/diagnostic imaging and Young Adult",NA,Comparative Study and Journal Article,HRCT and whole-blood interferon-gamma assay for the rapid diagnosis of smear-negative pulmonary tuberculosis.,0,"BACKGROUND: Early diagnosis of active pulmonary tuberculosis (PTB) is critical for TB control, and difficult in patients with smear-negative sputum. OBJECTIVE: We wanted to evaluate the usefulness of clinical findings, high-resolution computed tomography (HRCT), interferon-gamma-releasing assay (IGRA) and polymerase chain reaction (PCR) of sputum in the diagnosis of smear-negative PTB. METHODS: From June 2006 to September 2008, 178 patients with suspected PTB on the basis of clinical and radiological findings visited our institute. After excluding smear-positive cases (n = 77) and cases with an inconclusive diagnosis (n = 17), we studied 84 patients. Their clinical records, HRCT, sputum TB-PCR assay and IGRA results were retrospectively evaluated. A QuantiFeron-TB Gold (QFT-G; Cellestis Ltd., Carnegie, Vic., Australia) assay was used for the IGRA. RESULTS: Active PTB was diagnosed in 40 (48%) of 84 patients; lack of sputum and young age were significantly associated with an increased risk of PTB. The sensitivities of sputum PCR assay, IGRA, and HRCT were 43.2, 84.4 and 80.0%, respectively, and the specificities were 97.7, 82.9 and 70.5%, respectively. Among the 38 patients suspected of having PTB based on HRCT, 24 patients showed positive results on the IGRA, and 23 of these were diagnosed with active PTB. Among the 35 patients suggested not to have TB based on HRCT, 25 showed negative results on the IGRA, and 23 (92%) of these were diagnosed as not to have TB. CONCLUSION: The combined results of HRCT and the IGRA could help decision-making for early initiation of treatment in smear-negative patients."
Kang YJ and Jo JO and Ock MS and Yoo YB and Chun BK and Oak CH and Cha HJ,"Tuberculosis (Edinburgh, Scotland)",2014,NA,10.1016/j.tube.2014.01.003,NA,24556076,NA,"Biomarkers/metabolism and Fluorescent Antibody Technique and Granuloma, Respiratory Tract/metabolism and Humans and Hypoxia-Inducible Factor 1, alpha Subunit/metabolism and Lung/blood supply/metabolism and RNA, Messenger/metabolism and Reverse Transcriptase Polymerase Chain Reaction and Sputum/metabolism and Thymosin/*metabolism and Tuberculosis, Pulmonary/*diagnosis and Vascular Endothelial Growth Factor A/metabolism",HIF and Inflammation and Thymosin 4 and Tuberculosis and VEGF,"Journal Article and Research Support, Non-U.S. Gov't",Over-expression of thymosin 4 in granulomatous lung tissue with active pulmonary tuberculosis.,0,"Recent studies have shown that thymosin 4 (T4) stimulates angiogenesis by inducing vascular endothelial growth factor (VEGF) expression and stabilizing hypoxia inducible factor-1 (HIF-1) protein. Pulmonary tuberculosis (TB), a type of granulomatous disease, is accompanied by intense angiogenesis and VEGF levels have been reported to be elevated in serum or tissue inflamed by pulmonary tuberculosis. We investigated the expression of T4 in granulomatous lung tissues at various stages of active pulmonary tuberculosis, and we also examined the expression patterns of VEGF and HIF-1 to compare their T4 expression patterns in patients' tissues and in the tissue microarray of TB patients. T4 was highly expressed in both granulomas and surrounding lymphocytes in nascent granulomatous lung tissue, but was expressed only surrounding tissues of necrotic or caseous necrotic regions. The expression pattern of HIF-1 was similar to that of T4. VEGF was expressed in both granulomas and blood vessels surrounding granulomas. The expression pattern of VEGF co-localized with CD31 (platelet endothelial cell adhesion molecule, PECAM-1), a blood endothelial cell marker, and partially co-localized with T4. However, the expression of T4 did not co-localize with alveolar macrophages. Stained alveolar macrophages were present surrounding regions of granuloma highly expressing T4. We also analyzed mRNA expression in the sputum of 10 normal and 19 pulmonary TB patients. Expression of T4 was significantly higher in patients with pulmonary tuberculosis than in normal controls. These data suggest that T4 is highly expressed in granulomatous lung tissue with active pulmonary TB and is associated with HIF-1- and VEGF-mediated inflammation and angiogenesis. Furthermore, the expression of T4 in the sputum of pulmonary tuberculosis patients can be used as a potential marker for diagnosis."
Bollampalli VP and Harumi Yamashiro L and Feng X and Bierschenk D and Gao Y and Blom H and Henriques-Normark B and Nyln S and Rothfuchs AG,PLoS pathogens,2015,NA,10.1371/journal.ppat.1005206,NA,26440518,NA,"Animals and BCG Vaccine/*immunology and CD4-Positive T-Lymphocytes/*immunology and Cell Movement/immunology and Dendritic Cells/*immunology/metabolism/microbiology and Disease Models, Animal and Flow Cytometry and Lymph Nodes/*immunology and Lymphocyte Activation/*immunology and Mice and Mice, Inbred C57BL and Mice, Knockout and Microscopy, Confocal and Mycobacterium bovis/immunology and Myeloid Differentiation Factor 88/immunology and Real-Time Polymerase Chain Reaction and Receptors, Interleukin-1/immunology and Skin/immunology/microbiology and Tuberculosis/immunology/prevention & control",NA,"Journal Article and Research Support, Non-U.S. Gov't",BCG Skin Infection Triggers IL-1R-MyD88-Dependent Migration of EpCAMlow CD11bhigh Skin Dendritic cells to Draining Lymph Node During CD4+ T-Cell Priming.,0,"The transport of antigen from the periphery to the draining lymph node (DLN) is critical for T-cell priming but remains poorly studied during infection with Mycobacterium bovis Bacille Calmette-Gurin (BCG). To address this we employed a mouse model to track the traffic of Dendritic cells (DCs) and mycobacteria from the BCG inoculation site in the skin to the DLN. Detection of BCG in the DLN was concomitant with the priming of antigen-specific CD4+ T cells at that site. We found EpCAMlow CD11bhigh migratory skin DCs to be mobilized during the transport of BCG to the DLN. Migratory skin DCs distributed to the T-cell area of the LN, co-localized with BCG and were found in close apposition to antigen-specific CD4+ T cells. Consequently, blockade of skin DC traffic into DLN dramatically reduced mycobacterial entry into DLN and muted T-cell priming. Interestingly, DC and mycobacterial entry into the DLN was dependent on IL-1R-I, MyD88, TNFR-I and IL-12p40. In addition, we found using DC adoptive transfers that the requirement for MyD88 in BCG-triggered migration was not restricted to the migrating DC itself and that hematopoietic expression of MyD88 was needed in part for full-fledged migration. Our observations thus identify a population of DCs that contribute towards the priming of CD4+ T cells to BCG infection by transporting bacilli into the DLN in an IL-1R-MyD88-dependent manner and reveal both DC-intrinsic and -extrinsic requirements for MyD88 in DC migration."
Abdellrazeq GS and Elnaggar MM and Osman HS and Davis WC and Singh M,Transboundary and emerging diseases,2016,NA,10.1111/tbed.12291,NA,25408173,NA,"Animals and Cattle and Egypt/epidemiology and Interferon-gamma/*blood and Mycobacterium bovis/*immunology and Prevalence and Tuberculin Test/veterinary and Tuberculosis, Bovine/diagnosis/*epidemiology",IFN- assay and bovine tuberculosis and cut-off values and tuberculin skin test,Journal Article,Prevalence of Bovine Tuberculosis in Egyptian Cattle and the Standardization of the Interferon-gamma Assay as an Ancillary Test.,0,"Bovine tuberculosis (bTB) caused primarily by Mycobacterium bovis continues to cause significant losses in the cattle industry and is a major public health problem. Despite its worldwide application, the IFN- assay has not been applied in Egypt. The aim of this study was to determine the appropriate cut-off value of IFN- assay to complement the skin test screening in Egypt. The relative sensitivity (Ser ) of PPD and antigen cocktail-based IFN- assays (IFN--BA and IFN--EC) was analysed retrospectively, relative to bTB confirmatory tests (culture and PCR), using single cervical tuberculin (SCT) test reactors during 2011-2013. The absolute specificity (Sp) was studied using blood samples collected from cattle from one bTB-free herd. Analysis of the bTB database-generated sheets indicates the infection rate had decreased from 2009 to 2012 and then increased in 2013. The disease is concentrated in the Egyptian Nile Delta and Valley relative to elsewhere in the country. The cut-offs for IFN--EC assay could be optimized to provide higher sensitivity, comparable to cut-offs for IFN--BA assay. Data analysis suggests (PPDbOD >0.1, PPDbOD -NILOD >0.05 and PPDbOD >PPDaOD ) and (ECOD -NILOD 0.1) cut-off strategies to get optimal IFN--BA and IFN--EC assays results respectively. To our knowledge, this is the first report describing the prevalence of bTB in cattle in Egypt and pointing out the appropriate cut-off criteria to optimize IFN- assay as a routine ancillary test for diagnosis of bTB in Egypt."
Jia H and Pan L and Qin S and Liu F and Du F and Lan T and Zhang X and Wei R and Du B and Liu Z and Huang H and Zhang Z,Diagnostic microbiology and infectious disease,2013,NA,10.1016/j.diagmicrobio.2013.03.030,NA,23647965,NA,"Adolescent and Adult and Aged and Aged, 80 and over and Bacteriological Techniques and Case-Control Studies and Enzyme-Linked Immunosorbent Assay and Female and Humans and Interferon-gamma/*metabolism and Leukocytes, Mononuclear/metabolism/microbiology and Male and Middle Aged and Molecular Diagnostic Techniques and Mycobacterium tuberculosis/*genetics and Real-Time Polymerase Chain Reaction and Sensitivity and Specificity and Tuberculosis, Osteoarticular/*diagnosis/microbiology and Young Adult",NA,"Comparative Study and Evaluation Study and Journal Article and Research Support, Non-U.S. Gov't",Evaluation of interferon- release assay in the diagnosis of osteoarticular tuberculosis.,0,"The aim of this study was to assess the value of interferon- (IFN-) release assay (IGRA) (T-SPOT.TB) for patients with suspected osteoarticular tuberculosis (TB) in comparison with conventional and molecular methods. Of 145 patients with suspected osteoarticular TB, recruited from Beijing Chest Hospital between July 2011 and June 2012, 86 (59.3%)had osteoarticular TB (26 with culture-confirmed TB, 60 with probable TB), 24 (16.6%) were not having active TB. The remaining 17 (11.7%) inconclusive TB and 18 (12.4%) possible TB were excluded from final analysis. In addition to conventional tests and molecular method, T-SPOT.TB assay using peripheral blood mononuclear cells to examine IFN- response to early secretory antigenic target 6 and culture filtrate protein 10 was also performed. The sensitivity and specificity for T-SPOT.TB assay were 94.2% and 70.8%, respectively. A statistically significant difference in sensitivity was found between T-SPOT.TB assay (94.2%) and other tests (acid-fast bacilli smear (19.7%), culture (34.2%), real-time PCR (36.8%); P < 0.01, respectively). These results suggested that the IGRA assay could provide useful aids in the diagnosis of osteoarticular TB."
Rakotosamimanana N and Doherty TM and Andriamihantasoa LH and Richard V and Gicquel B and Soares JL and Zumla A and Razanamparany VR,PloS one,2013,NA,10.1371/journal.pone.0061154,NA,23593415,NA,"Adolescent and Adult and Aged and Antigens, Bacterial/metabolism and Apoptosis/*genetics and Bacterial Proteins/metabolism and CASP8 and FADD-Like Apoptosis Regulating Protein/genetics/metabolism and Case-Control Studies and Child and Child, Preschool and Endemic Diseases and Enzyme-Linked Immunospot Assay and Female and Follow-Up Studies and *Gene Expression Regulation and Humans and Interferon-gamma/metabolism and Leukocyte Count and Madagascar/epidemiology and Male and Middle Aged and Mycobacterium tuberculosis and Receptors, Tumor Necrosis Factor, Type II/genetics/metabolism and Tuberculin Test and Tuberculosis/*blood/epidemiology/*genetics/microbiology and Tumor Necrosis Factor-alpha/*blood and Young Adult",NA,"Journal Article and Research Support, Non-U.S. Gov't",Expression of TNF-alpha-dependent apoptosis-related genes in the peripheral blood of Malagasy subjects with tuberculosis.,0,"The majority of Mycobacterium tuberculosis (Mtb) infections remain asymptomatic with only up to 10% progressing to clinical tuberculosis. However, the constituents of the effective ""protective immunity"" against tuberculosis responsible for containing most infections remain unknown. Evaluating gene transcriptional profiles in tuberculosis clinical cohorts is one approach to understanding the spectrum of tuberculosis progression. It is clear that apoptosis plays a role in the control of tuberculosis but the utility of apoptosis-related genes as surrogate markers of protection against tuberculosis has not been well investigated. To characterize potential surrogate markers that could discriminate different phases of the clinical tuberculosis spectrum, we investigated gene expression of several TNF-alpha dependent apoptotic genes (TNFR1, TNFR2, FLICE, FLIPs) by real-time RT-PCR of peripheral blood cells from cohorts of individuals with active tuberculosis or potential exposure to tuberculosis. Newly diagnosed tuberculosis patients (n=23), their close household contacts (n=80), and community controls (n=46) were tested at intervals over a period of up to two years. Latent infection or previous Mtb contact was assessed by ELISPOT and TST and complete blood counts were performed during the follow up. Results showed significant upregulation of FLIPs expression by infected individuals regardless of clinical status at entry to the study. A higher percentage of lymphocytes was found in the infected household contacts that remained healthy. In contrast, in individuals with active TB, a significant upregulation of TNFR2 expression, a significantly higher percentage of monocytes and a significantly decreased lymphocyte count were seen, compared to subjects that remained healthy. Moreover, the household contacts who subsequently developed signs of TB also had a significantly high number of monocytes. These data suggest tuberculosis may be associated with decreased T-cell survival (perhaps due to apoptosis) while inhibition of apoptosis in monocytes could lead to a relative increase in these cells: a situation predicted to favour Mtb."
