author,journal,year,document_type,doi,url,pubmed_id,author_keywords,mesh_terms,keywords,publication_type,title,abstract
Del Prete R and Mosca A and D'Alagni M and Sabato R and Picca V and Miragliotta G,Journal of medical microbiology,1997,NA,10.1099/00222615-46-6-495,NA,9350202,NA,"Bronchoalveolar Lavage Fluid/microbiology and Colorimetry and DNA, Bacterial/*blood and Electrophoresis, Agar Gel and Humans and Immunoenzyme Techniques and Mycobacterium tuberculosis/*genetics/isolation & purification and Nucleic Acid Hybridization and Sensitivity and Specificity and Sputum/microbiology and Tuberculosis, Pulmonary/*diagnosis/microbiology",NA,"Journal Article and Research Support, Non-U.S. Gov't",Detection of Mycobacterium tuberculosis DNA in blood of patients with acute pulmonary tuberculosis by polymerase chain reaction and non-isotopic hybridisation assay.,"The detection of Mycobacterium tuberculosis DNA in peripheral blood mononuclear cells (PBMC) by PCR and non-isotopic hybridisation assay was evaluated for the laboratory diagnosis of pulmonary M. tuberculosis infection. The PCR technique was based on the presence of IS6110, a DNA sequence specific for M. tuberculosis, and performed on PBMC from 30 patients belonging to the fifth group of the American Thoracic Society (ATS) classification of tuberculosis. The identification of amplification products was confirmed after electrophoresis by hybridisation with a non-isotopic probe in a DNA enzyme immunoassay (DEIA). Of the 30 blood samples studied by the PCR-DEIA technique, 26 gave positive results and four gave negative results. Blood samples from 30 subjects in a control group were negative by this technique. The data suggest that PCR-DEIA of blood may provide a sensitive, specific and useful means of diagnosing mycobacterial infection."
Aziz MM and Khan AY and Hasan KN and Azad Khan AK and Hassan MS,Bangladesh Medical Research Council bulletin,2004,NA,NA,NA,16240979,NA,"Bangladesh and Base Sequence and *DNA Primers and Humans and Mycobacterium tuberculosis/*genetics/isolation & purification and Polymerase Chain Reaction/*methods and Sequence Analysis, DNA and Tuberculosis/*diagnosis/genetics",NA,Comparative Study and Journal Article,Comparison between IS6110 and MPB64 primers for the diagnosis of Mycobacterium tuberculosis in Bangladesh by polymerase chain reaction (PCR).,"The study was carried out to evaluate the efficacy of two different primers in PCR based diagnosis of tuberculosis on the basis of the time involvement, steps of PCR, cost and accuracy of results. Among 17 clinically suspected pulmonary tuberculosis patient's (M:F 65:35) sputum samples, 12 were found positive by both primers. Among 81 routine samples (sputum = 12; blood = 27; cerebrospinal fluid = 16; ascitic fluid = 12 and urine = 14), 12 were found to be positive by IS6110 primer while 13 were found positive by MPB64. The result of M. tuberculosis DNA PCR in sputum, ascitic fluid, CSF and urine samples were found to be similar in both the primers used. It is suggested that, M. tuberculosis DNA PCR in blood samples using MPB64 primers sometime gives false positive result and therefore, may not be recommended for blood samples. As in other samples both the primers gave almost the same result and therefore, both the primers can be used for MTB DNA PCR vice versa in order to cross check if one gives dubious result."
Jnsson B and Ridell M,Scandinavian journal of infectious diseases,2003,NA,10.1080/00365540310012244,NA,12953947,NA,Bacteriological Techniques and Cerebrospinal Fluid/microbiology and False Negative Reactions and False Positive Reactions and Humans and Mycobacterium tuberculosis/*genetics/*isolation & purification and Polymerase Chain Reaction/*methods and Sensitivity and Specificity and Specimen Handling and Tuberculosis/blood/cerebrospinal fluid/*diagnosis/*microbiology,NA,"Journal Article and Research Support, Non-U.S. Gov't",The Cobas Amplicor MTB test for detection of Mycobacterium tuberculosis complex from respiratory and non-respiratory clinical specimens.,"The Cobas Amplicor MTB test is a polymerase chain reaction (PCR) technique commonly used for direct detection of Mycobacterium tuberculosis in clinical samples. This assay is only validated for respiratory specimens, but many physicians also request PCR analyses for non-respiratory ones. 877 respiratory and 564 non-respiratory specimens were analysed by this test. Using culture results as standard, the sensitivity, specificity, positive (PPV) and negative predictive values (NPV) of the PCR were, respectively, 97.9%, 100%, 100% and 94.4% for smear-positive respiratory specimens, 68.8%, 99.2%, 87.5% and 97.5% for smear-negative respiratory samples, 57.8%, 98.6%, 78.8% and 96.4% for all non-respiratory specimens, and 42.4%, 98.6%, 66.7% and 96.4% for smear-negative non-respiratory specimens. 154 cerebrospinal fluid samples were analysed and the sensitivity, specificity, PPV and NPV were 55.6%, 97.2%, 55.6% and 97.2%, respectively. These results indicate that the Cobas Amplicor MTB test enables detection of tuberculosis in respiratory specimens, but does not perform well enough in non-respiratory specimens. The method fails particularly in cases where a reliable and rapid test is urgently needed, e.g. in tuberculous meningitis."
Khosla R and Dwivedi A and Sarin BC and Sehajpal PK,Indian journal of experimental biology,2009,NA,NA,NA,19634710,NA,"DNA, Bacterial/*blood and Humans and India/epidemiology and Mycobacterium tuberculosis/*genetics and Polymerase Chain Reaction/*methods and Tuberculosis/*blood/*diagnosis/epidemiology",NA,"Evaluation Study and Journal Article and Research Support, Non-U.S. Gov't",Peripheral blood based C-PCR assay for diagnosing extra-pulmonary tuberculosis.,"Extra pulmonary tuberculosis (EPTB) constitutes around 20% of all tuberculosis cases in India. Conventional methods are of limited use in diagnosing this form of the disease. Polymerase chain reaction (PCR) has emerged as a sensitive and specific tool for documenting the presence of Mycobacterium tuberculosis in clinical samples but lacks quantitative ability. The present study evaluates peripheral blood as an alternative clinical specimen for diagnosing EPTB. Peripheral blood samples from 38 EPTB and 89 non tuberculous subjects were analyzed for the presence of tubercle bacilli by MPB 64 gene based PCR method. The assay gave an overall sensitivity of 60.53% with negative predictive value of 76.92% which is superior to present gold standard of mycobacterial culture (10.53 and 72.36%). Additionally, 43.82% of non tuberculous subjects gave positive results with the PCR, thus mitigating the clinical utility of this test. An in-house Competitive PCR (C-PCR) assay was used to determine the mycobacterial load in peripheral blood from culture positive, culture negative EPTB patients and non tuberculous controls which ranged from 7498-12498, 602-4797 and 101-800 genome equivalent (ge)/mL, respectively. The data clearly demonstrated that C-PCR assay can furnish insightful information in diagnosing extra pulmonary disease."
Lima JF and Montenegro LM and Montenegro Rde A and Cabral MM and Lima AS and Abath FG and Schindler HC,Jornal brasileiro de pneumologia : publicacao oficial da Sociedade Brasileira de and Pneumologia e Tisilogia,2009,NA,10.1590/s1806-37132009000700011,NA,19669008,NA,"Adolescent and Case-Control Studies and Child and False Negative Reactions and False Positive Reactions and Female and Humans and Latent Tuberculosis/blood/*diagnosis/microbiology and Male and Mycobacterium tuberculosis/*genetics and Polymerase Chain Reaction/*standards and Prospective Studies and Sensitivity and Specificity and Tuberculosis, Pulmonary/blood/*diagnosis/microbiology",NA,"Journal Article and Research Support, Non-U.S. Gov't",Performance of nested PCR in the specific detection of Mycobacterium tuberculosis complex in blood samples of pediatric patients.,"OBJECTIVE: To evaluate the performance of nested PCR (nPCR) in detecting the Mycobacterium tuberculosis complex in blood samples of patients suspected of having TB, in order to determine its potential for use as an auxiliary tool in the laboratory diagnosis of TB in children. METHODS: Detection of the M. tuberculosis complex in blood samples using as a target the insertion sequence IS6110 of the genomic DNA of the bacillus. Blood samples of 120 patients were evaluated. All of the patients were under 15 years of age at the time of their treatment at public hospitals in the city of Recife, Brazil (between January of 2003 and August of 2005). Attending physicians at the hospitals diagnosed TB based on the criteria recommended by the American Thoracic Society. The nPCR amplified a 123-bp fragment with outer oligonucleotides (IS1/IS2) and, in the subsequent reaction, using inner oligonucleotides (IS3/IS4), generating an 81-bp amplicon. RESULTS: Active or latent TB was found in 65 patients, TB was ruled out in 28 suspected cases, and 27 patients were TB-free (controls). The sensitivity of nPCR was 26.15% and was significantly higher for the extrapulmonary form of the disease (55.56%) than for the pulmonary form (18.18%). The specificity was 92.73%. CONCLUSIONS: Despite the difficulties in diagnosing TB in children and the low number of cases evaluated in the present study, nPCR in blood samples proved to be a rapid and specific technique, albeit one with low sensitivity. In order to establish its true usefulness in the diagnosis of paucibacillary forms, especially extrapulmonary TB, further studies need to be carried out with a larger sample of children and analyzing biological specimens other than blood."
Honore S and Vincensini JP and Hocqueloux L and Noguera ME and Farge D and Lagrange P and Herrmann JL,The international journal of tuberculosis and lung disease : the official journal of and the International Union against Tuberculosis and Lung Disease,2001,NA,NA,NA,11495267,NA,"Adult and Aged and Aged, 80 and over and Case-Control Studies and Culture Media and DNA, Bacterial/*genetics and Female and Humans and Leukocytes, Mononuclear/*microbiology and Male and Middle Aged and Mycobacterium tuberculosis/*genetics/*isolation & purification and *Polymerase Chain Reaction and Prospective Studies and Sensitivity and Specificity and Time Factors and Tuberculosis/*blood/*genetics",NA,"Clinical Trial and Journal Article and Research Support, Non-U.S. Gov't",Diagnostic value of a nested polymerase chain reaction assay on peripheral blood mononuclear cells from patients with pulmonary and extra-pulmonary tuberculosis.,"SETTING: Saint Louis Hospital, Paris, France. OBJECTIVE: To determine the clinical relevance of detection of Mycobacterium tuberculosis DNA by nested polymerase chain reaction (PCR) in peripheral blood mononuclear cells (PBMCs) in the rapid diagnosis of tuberculosis. DESIGN: Single-centre prospective case study of 90 hospitalised patients and 50 healthy subjects or blood donors from 1 January to 30 June 1998. RESULTS: Twenty-three patients were diagnosed with tuberculosis (26.7%); 20 tuberculosis patients were culture-positive, with seven smear-positive for acid-fast bacilli. Sensitivity of smear, culture and nested PCR was 30.4 (7/23), 87 (20/23) and 30.4% (7/23), respectively. The specificity of smear and culture was 100%, and the specificity of the nested PCR was 96% in the healthy subjects. However, the specificity decreased to 83.6% in the hospitalised patients, with 11 nested PCR-positive patients without a diagnosis of tuberculosis. The sensitivity of the nested PCR was low in pulmonary tuberculosis (22.2%), but increased in pulmonary/extra-pulmonary tuberculosis (50%), extra-pulmonary tuberculosis (33%), and disseminated tuberculosis (33%). CONCLUSION: The use of a nested PCR assay on PBMC may pose problems for the rapid diagnosis of tuberculosis with regard to low sensitivity and specificity. However, further studies are needed to confirm this technique as an alternative test for the diagnosis of paucibacillary forms of tuberculosis."
Gamboa F and Dominguez J and Padilla E and Manterola JM and Gazapo E and Lonca J and Matas L and Hernandez A and Cardona PJ and Ausina V,Journal of clinical microbiology,1998,NA,10.1128/JCM.36.5.1324-1329.1998,NA,9574698,NA,Humans and Mycobacterium tuberculosis/genetics/*isolation & purification and *Nucleic Acid Amplification Techniques and Tuberculosis/*diagnosis,NA,Journal Article,Rapid diagnosis of extrapulmonary tuberculosis by ligase chain reaction amplification.,"A rapid amplification-based test for the diagnosis of extrapulmonary tuberculosis, the LCx Mycobacterium tuberculosis Assay from Abbott Laboratories, was evaluated. Results from the LCx M. tuberculosis Assay were compared with those from culture and the final clinical diagnosis for each patient. A total of 526 nonrespiratory specimens from 492 patients were tested. The specimens included urine; feces; lymph node exudates; pleural, cerebrospinal, articular, and ascitic fluids; tissue biopsies; gastric aspirates; purulent exudates; blood; and bone marrow aspirates. After combination of the culture results and the patient's clinical data, a total of 135 specimens were collected from 122 patients with a diagnosis of extrapulmonary tuberculosis. The sensitivity, specificity, and positive and negative predictive values for the LCx M. tuberculosis Assay were 77.7, 98.7, 95.2, and 93.1%, respectively; these values rose in resolved cases of TB to 78.5, 100, 100, and 93.1%, respectively. For 37 (27.4%) specimens from patients smear positive for the disease and 98 (72.6%) specimens from patients smear negative for the disease, the sensitivities of the LCx M. tuberculosis Assay were 100 and 71.1%, respectively. Statistically significant differences (P < 0.01) in sensitivities were found between culture and the LCx M. tuberculosis Assay. These differences were even greater among smear-negative specimens. The results demonstrate that the LCx M. tuberculosis Assay will provide rapid and valuable information for the diagnosis of extrapulmonary tuberculosis."
Ahmed N and Mohanty AK and Mukhopadhyay U and Batish VK and Grover S,Journal of clinical microbiology,1998,NA,10.1128/JCM.36.10.3094-3095.1998,NA,9738080,NA,"DNA Primers and DNA Transposable Elements and DNA, Bacterial/*blood and HIV Seronegativity and Humans and Immunocompetence and India and Leukocytes/microbiology and Mycobacterium tuberculosis/genetics/*isolation & purification and Polymerase Chain Reaction/methods and Tuberculosis, Pulmonary/blood/*diagnosis",NA,Journal Article,PCR-based rapid detection of Mycobacterium tuberculosis in blood from immunocompetent patients with pulmonary tuberculosis.,A PCR test based on insertion sequence IS1081 was developed to detect Mycobacterium tuberculosis complex organisms in the peripheral blood. The method was applied to blood samples from immunocompetent individuals with localized pulmonary tuberculosis. Seven of 16 (43.75%) blood samples were found to be positive for the circulating DNA copies of M. tuberculosis complex.
Portillo-Gmez L and Morris SL and Panduro A,The international journal of tuberculosis and lung disease : the official journal of and the International Union against Tuberculosis and Lung Disease,2000,NA,NA,NA,10777087,NA,"Adolescent and Adult and Aged and Ascitic Fluid/microbiology and Child and Child, Preschool and DNA, Bacterial/*genetics and Exudates and Transudates/microbiology and Female and Humans and Infant and Male and Mexico and Middle Aged and Mycobacterium tuberculosis/*genetics and Pleural Effusion/microbiology and Polymerase Chain Reaction/*methods and Prospective Studies and Reproducibility of Results and Sensitivity and Specificity and Tuberculosis/blood/cerebrospinal fluid/*diagnosis/*microbiology/urine",NA,"Journal Article and Research Support, Non-U.S. Gov't",Rapid and efficient detection of extra-pulmonary Mycobacterium tuberculosis by PCR analysis.,"SETTING: The diagnosis of extra-pulmonary tuberculosis (EPTB) remains an important clinical problem, primarily because of the inadequate sensitivity of conventional bacteriologic methods for detecting Mycobacterium tuberculosis in extra-pulmonary specimens. OBJECTIVE: To evaluate whether a IS6110-based polymerase chain reaction (PCR) method can be utilized to detect M. tuberculosis in non-pulmonary specimens. DESIGN: Specimens from 286 Mexican patients with a presumptive clinical diagnosis of EPTB were prospectively examined by Ziehl-Neelsen staining, mycobacterial culture on Lwenstein-Jensen slants, and by PCR. The DNA for PCR was extracted by the buffer lysis method and phenol-guanidine thiocyanate-chloroform. Primers that amplify a 200 bp fragment from the insertion-like M. tuberculosis sequence element IS6110 were utilized. RESULTS: Our results demonstrate that this PCR method is highly specific (100%) for identifying M. tuberculosis from a variety of specimens including cerebrospinal fluid (CSF), pleural fluid, ascitic fluid, pericardial fluid, urine, and lymph node exudate. Moreover, the sensitivity of PCR for detecting M. tuberculosis in CSF (94%), pleural fluid (94%), ascitic fluid and other extrapulmonary specimens (93%) greatly exceeds the sensitivity of conventional smear and culture methods. CONCLUSION: These results demonstrate that PCR can be a highly specific and sensitive aid in the detection of M. tuberculosis from extra-pulmonary specimens."
Mirza S and Restrepo BI and McCormick JB and Fisher-Hoch SP,The American journal of tropical medicine and hygiene,2003,NA,NA,NA,14695080,NA,"Adolescent and Adult and Aged and Aged, 80 and over and Child and DNA, Bacterial/*blood and Female and Hospital Bed Capacity, 500 and over and Hospitals, Teaching and Humans and Leukocytes, Mononuclear/microbiology and Lymph Nodes/microbiology and Male and Middle Aged and Mycobacterium tuberculosis/genetics/isolation & purification and Pakistan/epidemiology and Polymerase Chain Reaction/*standards and Predictive Value of Tests and Tuberculosis, Lymph Node/*diagnosis/*epidemiology/etiology",NA,"Evaluation Study and Journal Article and Research Support, Non-U.S. Gov't",Diagnosis of tuberculosis lymphadenitis using a polymerase chain reaction on peripheral blood mononuclear cells.,"Providing prompt and precise laboratory confirmation of a clinical diagnosis of tuberculous lymphadenitis is difficult given the paucibacillary nature of lymph node specimens. In this study carried out in Karachi, Pakistan, a polymerase chain reaction (PCR) assay aimed at detecting Mycobacterium tuberculosis DNA in peripheral blood mononuclear cells (PBMC-PCR) was standardized and compared with standard M. tuberculosis diagnostic techniques or a lymph node PCR (LN-PCR) for the diagnosis of tuberculosis lymphadenitis. Thirty-seven (77%) specimens from 48 patients with clinical or diagnosis of tuberculosis lymphadenitis were positive by cytology [17/48 (35%) with no acid fast bacilli (AFB) (suggestive), and 20/48 (42%) with AFB (positive) in direct smears], 30 (63%) by PBMC-PCR, 16 (33%) by LN-PCR, and 13 (27%) by culture. All controls were negative, with the exception of one false-positive LN-PCR. These data suggest the PBMC-PCR may be helpful in the diagnosis of tuberculous lymphadenitis."
Wolska-Goszka L and Nowak A and Galiski J and Somiski JM,Pneumonologia i alergologia polska,1998,NA,NA,NA,9658879,NA,"Blood/microbiology and Body Fluids/*microbiology and Bronchi/microbiology and Cerebrospinal Fluid/microbiology and DNA, Bacterial/isolation & purification and Gene Amplification and Humans and Mycobacterium tuberculosis/*isolation & purification and Pleural Effusion/microbiology and Polymerase Chain Reaction/*methods and Sensitivity and Specificity and Skin/microbiology and Sputum/microbiology and Tuberculosis/*diagnosis/*microbiology and Tuberculosis, Pulmonary/diagnosis/microbiology and Urine/microbiology",NA,English Abstract and Journal Article,[Use of Polymerase chain reaction (PCR) for detection of Mycobacterium tuberculosis complex from patient materials].,"The polymerase chain reaction (PCR) and direct culture were applied for detection of Mycobacterium tuberculosis complex in samples obtained from patients with suspicion of pulmonary and extra-pulmonary tuberculosis. In the reaction of amplification IS6110 was applied as a target region, and PCR reaction products were of the size of 123 bp and 317 bp. A total of 278 samples (158 sputum, 36 urine, 25 pleural effusion, 23 bronchial washings, 8 blood, 4 stomach washings, 3 cerebrospinal fluid, 2 fragments of skin, 2 pleural effusion, and 17 others samples) from 181 patients were tested. Mycobacterium tuberculosis complex was detected by PCR in 144 out of 278 samples and by culture in 68 of 278 samples. The PCR test enabled a rapid and sensitive diagnosis particularly in a number of samples which were negative on culture."
"Ritis, K. and Tzoanopoulos, D. and Speletas, M. and Papadopoulos, E. and Arvanitidis, K. and Kartali, S. and Sideras, P.",Journal of Internal Medicine,2000,Article,10.1046/j.1365-2796.2000.00750.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033735368&doi=10.1046%2fj.1365-2796.2000.00750.x&partnerID=40&md5=af913b992f303a85f76b0c156838b855,11123506,Fever of unknown origin;  IS6110 insertion element;  Mycobacterium tuberculosis;  Polymerase chain reaction,NA,"adult;  aged;  article;  bacterial gene;  bacterium detection;  clinical article;  female;  gene amplification;  human;  Human immunodeficiency virus infection;  male;  Mycobacterium tuberculosis;  nucleotide sequence;  priority journal;  pyrexia idiopathica;  genetics;  methodology;  microbiology;  middle aged;  Mycobacterium tuberculosis;  nucleic acid amplification;  polymerase chain reaction;  pyrexia idiopathica;  serodiagnosis;  transposon;  tuberculosis, Adult;  Aged;  DNA Transposable Elements;  Female;  Fever of Unknown Origin;  HIV Seronegativity;  Humans;  Male;  Middle Aged;  Mycobacterium tuberculosis;  Nucleic Acid Amplification Techniques;  Polymerase Chain Reaction;  Tuberculosis",NA,Amplification of IS6110 sequence for detection of Mycobacterium tuberculosis complex in HIV-negative patients with fever of unknown origin (FUO) and evidence of extrapulmonary disease,"Objectives. Extrapulmonary tuberculosis (TB) constitutes the main cause of classic fever of unknown origin (FUO) in many populations. The aim of this study was to improve the diagnostic field of the disease using a nested polymerase chain reaction (PCR) assay, specific for the IS6110 insertion element of Mycobacterium tuberculosis complex, in order to achieve a more timely diagnosis and treatment. Setting. Twenty-four, HIV-negative classic FUO patients who were admitted to the Regional Hospital of Alexandroupolis between April 1997 and July 1999. Subjects and design. The above patients were considered as putative extrapulmonary TB after 3 weeks of in-patient investigation and underwent exhaustive examination for diagnosis of the disease. For this purpose, specimens were obtained from peripheral blood and bone marrow from these patients, as well as from damaged tissues, and analysed by both PCR and conventional methods. Anti-tuberculous treatment was initiated in 16 out of 24 patients and the response to this regimen was considered as the final criterion for diagnosis of tuberculosis. Results. Extrapulmonary TB was established in 11 patients. The PCR-based methodology, when applied to samples derived from bone marrow aspirations and suspected damaged tissues, was able to diagnose 10 of them, whereas the conventional methods were able to detect only two. Conclusions. Our results confirm the diagnostic value of molecular detection of M. tuberculosis in cases of FUO, thus supporting the application of PCR in tissue samples suspected of bacillus infection. Furthermore, our studies demonstrate that bone marrow aspiration specimens constitute an alternative, easy, safe and reliable source for such PCR analysis."
"Taci, N. and Yurdakul, A.S. and Ceyhan, I. and Berktas, M.B. and retensoy, M.",Respiratory Medicine,2003,Article,10.1053/rmed.2003.1500,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038651906&doi=10.1053%2frmed.2003.1500&partnerID=40&md5=1c177e4a3a8148a76b84e1bb22566a2b,12814154,Blood;  Polymerase chain reaction;  Tuberculosis,NA,"albumin;  bacterial DNA;  tuberculostatic agent, adult;  albumin blood level;  article;  blood analysis;  body mass;  clinical article;  clinical trial;  controlled clinical trial;  controlled study;  correlation analysis;  diagnostic accuracy;  DNA determination;  female;  human;  Human immunodeficiency virus infection;  lung cavitation;  lung tuberculosis;  male;  Mycobacterium tuberculosis;  polymerase chain reaction;  priority journal;  sensitivity and specificity;  serodiagnosis;  sputum smear;  standardization;  thorax radiography",NA,Detection of Mycobacterium tuberculosis DNA from peripheral blood in patients with HIV-seronegative and new cases of smear-positive pulmonary tuberculosis by polymerase chain reaction,"Tuberculosis is still one of the most important cause of mortality and morbidity in many countries and there is a need for new methods for accurate and rapid diagnosis of tuberculosis. To determine the sensitivity and specificity of polymerase chain reaction (PCR) method, we have evaluated Mycobacterium tuberculosis DNA in peripheral blood samples with PCR technique in adult patients with human immunodeficiency virus (HIV)-negative and new cases of smear-positive pulmonary tuberculosis. We investigated the relationship between characteristic of the patients, radiological extension of the disease, sputum smear grade, presence of cavity, body-mass index (BMI), serum albumin level, total delay time and PCR positivity. Forty patients (33 male and 7 female; mean age 37.814.1) and 20 healthy control subjects (13 male and 7 female; mean age 35.67.3) were enrolled in this study. PCR was positive in 16 of 40 (40%) patients with pulmonary tuberculosis and negative in 24 of 40 (60%). None of the healthy controls had positive PCR results. The overall sensitivity, specificity and accuracy of the PCR assay was 40,100 and 60%, respectively. We found the positive correlation between PCR positivity and sputum smear grade (r= 0.46, P=0.003), radiological extension of the disease (r= 0.69, P=0.001), presence of cavity (r= 0.90, P=0.001). We conclude that the detection of M. tuberculosis DNA from peripheral blood by PCR technique is useful for the rapid diagnosis of tuberculosis patients with HIV-negative. Hematogenous dissemination was important in tuberculosis patients and peripheral blood samples were suitable and easy materials. However, standardization of the PCR method must be ensured for the diagnosis of tuberculosis.  2003 Elsevier Science Ltd. All rights reserved."
Verettas D and Kazakos C and Tilkeridis C and Dermon A and Petrou H and Galanis V,Acta orthopaedica Belgica,2003,NA,NA,NA,14648947,NA,"Adult and Aged and Blood/microbiology and Bone Marrow/microbiology and Culture Techniques and DNA, Bacterial/*analysis and Female and Humans and Male and Middle Aged and Mycobacterium tuberculosis/*isolation & purification and *Polymerase Chain Reaction and Sampling Studies and Sensitivity and Specificity and Severity of Illness Index and Synovial Fluid/microbiology and Tuberculosis, Osteoarticular/*diagnosis",NA,Journal Article,"Polymerase chain reaction for the detection of Mycobacterium tuberculosis in synovial fluid, tissue samples, bone marrow aspirate and peripheral blood.","Extrapulmonary tuberculosis accounts for approximately 10% of tuberculous infections; the musculoskeletal system is involved in a small number of these (10%). Skeletal tuberculosis is an indolent disease, and diagnosis may be delayed. Conventional methods are time consuming and have a low sensitivity rate. In recent years PCR-based protocols raised hopes as a reliable and fast diagnostic tool for extrapulmonary tuberculosis. The authors report the detection of Mycobacterium tuberculosis complex DNA in specimens from six patients using a nested PCR protocol specific for IS6110 insertion element of Mycobacterium tuberculosis complex. Three men and three women are reported with ages ranging from 42 to 68 years. The sites of infection were the knee and shoulder in one case each, the hip in two cases, and the thoracic spine in two cases. Diagnosis was established within three days, and treatment was initiated promptly. PCR is a technically easy approach that can be used as a first step diagnostic tool for early recognition and treatment of bone and joint tuberculosis."
"Richter, C. and Kox, L.F.F. and Van Leeuwen, J. and Mtoni, I. and Kolk, A.H.J.",European Journal of Clinical Microbiology and Infectious Diseases,1996,Article,10.1007/BF01701525,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029903473&doi=10.1007%2fBF01701525&partnerID=40&md5=aca110d99eb7365dacc59691cec2b3e7,8950560,NA,NA,"bacterial dna, article;  blood analysis;  cell culture;  clinical trial;  diagnostic accuracy;  diagnostic value;  human;  human immunodeficiency virus infection;  major clinical study;  mycobacterium;  mycobacterium tuberculosis;  polymerase chain reaction;  priority journal;  tanzania;  tuberculosis, Adult;  Bacteremia;  Bacteriological Techniques;  beta 2-Microglobulin;  DNA, Bacterial;  Female;  HIV Infections;  HIV Seropositivity;  Humans;  Lymphocyte Count;  Male;  Mycobacterium tuberculosis;  Polymerase Chain Reaction;  Sensitivity and Specificity;  Tuberculin Test",NA,PCR detection of mycobacteraemia in Tanzanian patients with extrapulmonary tuberculosis,"In 191 Tanzanian patients admitted to hospital with suspected extrapulmonary tuberculosis (TB), TB was diagnosed in 158 patients; the remaining 33 patients had neither microbiological nor clinical evidence of TB. Mycobacterium tuberculosis was detected in the blood of 25 patients, in 92% by a polymerase chain reaction (PCR) technique and in 52% by culture of buffy coat cells. The presence of mycobacterial DNA or Mycobacterium tuberculosis bacteria in peripheral blood (positive culture) was significantly associated with HIV infection; it was detected in 22 (21.4%) of 103 HIV-seropositive patients compared to only 3 (3.5%) of 55 HIV-seronegative patients (p < 0.009). In two-thirds of the patients with mycobacteraemia, TB can be detected by simple smears from other organ sites. In patients with suspected extrapulmonary tuberculosis in whom smears from the infected site are negative or not available, PCR on blood will confirm the diagnosis within 24 hours in one third of the cases."
Marenina EA and Ovsiankina ES and Larionova EE and Kapina MA and Dem'ianenko NV and Markina AI and Lebedeva GA,Problemy tuberkuleza,2003,NA,NA,NA,12744060,NA,"Acute Disease and Adolescent and Child and Child, Preschool and DNA, Bacterial/blood/urine and Humans and *Immunoenzyme Techniques and Mycobacterium tuberculosis/*isolation & purification and *Polymerase Chain Reaction and Sensitivity and Specificity and Sputum/microbiology and Tuberculosis, Pulmonary/*diagnosis/microbiology",NA,English Abstract and Journal Article,[Significance of molecular genetic and immunological techniques in risk groups and in children with tuberculosis].,"A total of 188 children and adolescents were examined. In all the children, blood Mycobacterium tuberculosis (MBT) DNA was determined by polymerase chain reaction (PCR) and MBT antigens (AG) and antibodies (AB) were by enzyme immunoassay. The studies have shown that it is expedient to concurrently determine MBT DNA and MBT AT in order to identify local forms of tuberculosis in children from risk groups. If the tests are positive, a comprehensive examination for tuberculosis is required; the presence of the syndrome of common disturbances is generally associated with tuberculous infection. When a local form of tuberculosis is excluded, preventive chemotherapy should be performed. Further negative tests for MBT DNA and lower MBT AT may be a criterion for the efficiency of preventive treatment. In children with tuberculosis, the results of repeated blood and urine tests for MBT DNA provide a way of evaluating the course of a tuberculous process and the efficiency of chemotherapy. PCR used to determine blood and urine MBT DNA is a highly specific test as positive results were in 79% of the children with tuberculosis."
Niang-Ndiaye M and Camara T and Cissokho S and Hane AA and Launois P,Dakar medical,1993,NA,NA,NA,7758375,NA,"DNA, Bacterial/analysis and False Negative Reactions and *HIV Seronegativity and HIV Seropositivity/*complications and Humans and Mycobacterium tuberculosis/genetics/*isolation & purification and *Polymerase Chain Reaction and Senegal and Sputum/*microbiology and Tuberculosis, Pulmonary/complications/*diagnosis/microbiology",NA,Comparative Study and English Abstract and Journal Article,[Value of PCR in the diagnosis of tuberculosis in samples negative by direct examination in HIV+ and HIV patients].,"A PCR system that amplify a repetitive fragment of the insertion sequence IS6110 specific for M. tuberculosis was compared to direct examination in samples from HIV+ and HIV-patients. 138 clinical samples (90 sputa, 30 blood and 18 urines) were analyzed in Senegal, a tuberculosis and HIV endemic area. All smear positive samples were PCR positive except for 7/138 (5.07%) that were false negative because of the presence of inhibitors. However, the use of several samples for each patient minimize the false negative results. The PCR allowed the detection of more positive results in smear negative sputa from HIV- (50%) than in HIV+ patients (20.5%). In contrast, in smear negative blood samples, PCR was positive more frequently in HIV+ (30%) than in HIV- patients (12.5%). Regarding patients, 15/25 HIV+ and 13/17 HIV-patients had at least one positive sample with PCR whereas only 7/25 and 11/17 respectively for HIV+ and HIV- patients had smear positive samples. Thus with some technical cares, PCR might be a useful tool for rapid diagnosis of M. tuberculosis infection in smear negative samples particularly in HIV+ patients."
